Code,Cod, Nam,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belarus,BGD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200,186,173,,
Belize,BGR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,19,18,17,16,16,15,14,13,13,12,12,12,11,10,11,10,10,10,,
Bermuda,BHR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15,15,14,,
Brazil,BHS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,75,76,78,79,78,77,78,77,77,78,78,78,78,78,77,74,72,70,,
Barbados,BIH,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,17,16,14,14,14,13,13,13,11,11,11,10,10,10,10,10,10,10,,
Brunei Darussalam,BLR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,22,19,18,15,13,11,9,7,6,6,5,5,4,3,3,3,3,2,,
Bhutan,BLZ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,89,88,82,80,75,70,65,61,59,57,54,52,50,48,46,43,39,36,,
Botswana,BMU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Central African Republic,BOL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,331,320,309,297,283,271,258,246,234,222,212,202,192,184,175,168,161,155,,
Canada,BRA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,69,68,69,70,71,71,72,71,70,69,65,61,60,61,62,63,62,60,,
Central Europe and the Baltics,BRB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,50,48,47,45,43,42,41,40,39,38,36,35,34,32,31,31,30,27,,
Switzerland,BRN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,28,28,29,30,30,29,28,27,27,27,28,28,29,28,29,30,31,31,,
Chile,BTN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,423,384,365,348,332,310,291,275,264,255,247,239,231,223,214,203,193,183,,
China,BWA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,262,271,278,278,264,239,221,209,203,189,179,176,170,164,160,156,151,144,,
Cote d'Ivoire,CAF,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1280,1290,1280,1250,1230,1200,1170,1130,1090,1050,1000,981,963,1030,961,912,890,829,,
Cameroon,CAN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,9,10,10,10,10,11,11,11,12,12,11,11,11,11,11,11,10,10,,
"Congo, Dem. Rep.",CEB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,20,19,17,16,15,14,13,12,12,11,11,10,9,9,9,9,9,8,,
"Congo, Rep.",CHE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,,
Colombia,CHI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Comoros,CHL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,31,32,28,27,27,25,25,23,21,21,20,18,17,16,15,14,13,13,,
Cabo Verde,CHN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,59,55,51,48,46,44,42,40,40,37,36,34,33,32,31,30,29,29,,
Costa Rica,CIV,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,704,706,713,711,709,704,699,698,694,700,701,703,702,691,676,658,636,617,,
Caribbean small states,CMR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,886,844,803,771,732,692,658,635,618,606,597,589,580,567,564,554,538,529,,
Cuba,COD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,760,740,734,699,661,627,598,578,565,555,542,532,524,514,500,490,481,473,,
Curacao,COG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,739,752,769,757,724,677,623,580,552,526,506,488,468,449,433,416,397,378,,
Cyprus,COL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,94,93,92,88,85,83,82,83,84,87,85,84,85,85,85,85,84,83,,
Czech Republic,COM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,444,437,429,423,414,404,393,382,370,356,341,326,313,302,293,285,279,273,,
Germany,CPV,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,118,109,101,96,91,86,82,78,75,72,70,67,65,63,62,61,59,58,,
Djibouti,CRI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,40,37,38,37,36,33,35,29,29,29,32,30,29,29,29,28,28,27,,
Denmark,CSS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,112,109,109,107,105,103,101,98,97,96,93,93,93,91,89,89,89,88,,
Dominican Republic,CUB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,46,44,41,41,40,41,38,38,40,40,41,38,39,40,39,38,37,36,,
Algeria,CUW,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),CYM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,CYP,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,14,9,10,9,9,12,9,8,9,8,8,8,7,6,8,7,6,6,,
East Asia & Pacific,CZE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,,
Europe & Central Asia (excluding high income),DEU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,7,,
Europe & Central Asia,DJI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,507,490,470,449,426,393,361,335,320,299,283,272,262,256,256,247,246,248,,
Ecuador,DMA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",DNK,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,8,8,8,7,7,6,6,6,6,6,5,5,5,4,4,4,4,4,,
Euro area,DOM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,80,75,75,76,81,83,86,90,92,95,96,95,94,94,94,94,94,95,,
Eritrea,DZA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,161,155,148,145,134,127,122,119,117,117,115,116,116,115,114,114,113,112,,
Spain,ECU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,122,117,110,100,94,94,90,85,82,80,78,76,71,67,65,63,61,59,,
Estonia,EGY,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,64,63,60,57,54,52,50,47,45,45,45,42,42,40,39,39,38,37,,
Ethiopia,EMU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,8,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,,
European Union,ERI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1280,1180,1130,1060,938,804,705,635,605,583,567,558,549,540,530,518,498,480,,
Fragile and conflict affected situations,ESP,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,,
Finland,EST,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,29,27,25,20,18,18,16,17,14,14,11,13,12,10,11,10,11,9,,
France,ETH,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1030,988,985,972,929,865,795,731,681,638,597,558,527,498,472,446,422,401,,
United Kingdom,FIN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,,
Georgia,FJI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,51,49,48,48,47,46,44,43,42,40,39,38,38,37,36,35,34,34,,
Ghana,FRA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,,
Guinea,FRO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
"Gambia, The",FSM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,154,150,163,141,137,133,128,123,118,114,110,106,103,99,96,95,90,88,,
Greece,GAB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,380,370,361,356,354,348,340,336,332,324,314,304,292,277,267,261,256,252,,
Grenada,GBR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,10,11,11,11,11,11,11,11,11,10,10,9,8,8,8,8,7,7,,
Guatemala,GEO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,31,33,42,37,38,39,33,36,39,43,32,32,30,30,29,27,26,25,,
Guyana,GHA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,484,445,415,398,384,371,359,349,342,339,339,339,336,331,325,320,314,308,,
High income,GIB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",GIN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1020,1070,1090,1080,1020,920,831,772,754,750,747,748,744,731,767,699,621,576,,
Honduras,GMB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,932,905,876,843,802,756,716,690,675,668,661,656,650,644,637,625,611,597,,
Heavily indebted poor countries (HIPC),GNB,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1210,1180,1150,1110,1050,979,912,860,827,800,779,762,744,726,711,694,679,667,,
Croatia,GNQ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,454,421,392,370,357,344,331,322,314,310,308,308,305,300,295,296,301,301,,
Hungary,GRC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
IBRD only,GRD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,38,36,34,34,38,33,31,31,30,30,29,28,28,27,26,25,25,25,,
IDA & IBRD total,GRL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
IDA total,GTM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,161,147,145,137,137,142,137,132,125,131,129,122,118,113,107,103,98,95,,
IDA blend,GUM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Indonesia,GUY,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,231,216,227,226,220,223,221,208,192,185,179,180,185,175,174,172,170,169,,
IDA only,HKG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
India,HND,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,85,83,80,78,77,77,77,77,76,75,74,72,70,69,68,67,65,65,,
Ireland,HPC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,835,807,786,761,733,698,669,642,619,599,579,560,543,526,512,493,477,462,,
"Iran, Islamic Rep.",HRV,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,11,10,10,10,10,10,9,9,9,9,9,9,8,9,8,8,7,8,,
Iceland,HTI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,437,437,441,446,513,459,467,473,484,484,506,496,500,496,492,488,489,480,,
Israel,HUN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,16,15,16,15,15,15,14,15,14,13,13,13,12,12,12,12,12,12,,
Italy,IDN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,272,269,265,261,264,252,249,243,239,234,228,221,214,207,199,192,184,177,,
Jamaica,IDX,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,722,700,683,663,638,608,583,560,541,524,506,490,477,463,452,436,422,410,,
Jordan,IMN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Kazakhstan,IND,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,370,354,336,319,303,286,270,255,240,225,210,197,185,175,166,158,150,145,,
Kenya,IRL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,7,7,6,6,6,7,6,6,7,7,6,7,6,6,6,6,6,5,,
Kyrgyz Republic,IRN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,48,44,41,39,36,34,32,30,28,25,22,19,18,17,17,17,16,16,,
Cambodia,IRQ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,79,76,74,136,122,127,158,138,90,75,70,67,66,75,92,83,78,79,,
St. Kitts and Nevis,ISL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,6,6,6,6,6,5,5,5,5,5,5,5,4,4,5,4,4,4,,
"Korea, Rep.",ISR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,,
Kuwait,ITA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,,
Latin America & Caribbean (excluding high income),JAM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,77,79,78,79,80,80,79,79,79,79,79,79,79,79,78,78,80,80,,
Lao PDR,JOR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,70,68,65,63,62,62,58,56,55,54,53,52,52,51,49,48,47,46,,
Liberia,JPN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,9,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,,
St. Lucia,KAZ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,61,57,52,49,46,43,40,36,30,24,22,19,17,14,13,12,10,10,,
Latin America & Caribbean,KEN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,708,702,692,678,653,618,583,545,513,472,432,398,373,364,358,353,346,342,,
Least developed countries: UN classification,KGZ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,79,76,83,82,79,82,85,84,81,80,79,79,74,70,69,66,63,60,,
Low income,KHM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,488,456,430,404,378,351,326,303,284,265,248,232,215,202,189,178,168,160,,
Liechtenstein,KIR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,136,131,127,124,121,119,117,115,115,113,112,110,107,104,100,97,94,92,,
Sri Lanka,KNA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Lower middle income,KOR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,17,15,15,16,15,15,14,15,15,16,15,14,13,13,12,12,11,11,,
Low & middle income,KWT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,,
Lesotho,LAC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,98,96,96,95,95,93,92,90,89,90,87,84,82,81,80,79,78,76,,
Late-demographic dividend,LAO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,544,517,491,465,437,410,385,360,336,314,292,272,254,238,223,209,196,185,,
Lithuania,LBN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,28,27,26,25,24,24,24,23,23,23,23,25,25,27,28,29,29,29,,
Luxembourg,LBR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,894,913,1010,878,837,816,782,754,738,724,708,694,683,674,688,691,661,661,,
Latvia,LBY,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,70,68,66,64,61,57,55,53,52,53,53,56,55,58,63,70,73,72,,
"Macao SAR, China",LCA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,86,86,90,92,89,83,82,87,93,100,109,116,116,108,104,115,117,117,,
Morocco,LCN,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,96,94,94,93,93,90,89,88,87,87,85,82,80,79,78,77,76,74,,
Moldova,LIE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Madagascar,LKA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,56,53,50,50,48,45,47,43,42,41,38,38,37,37,36,36,36,36,,
Maldives,LMC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,428,418,406,394,380,363,348,334,323,313,302,293,285,278,271,265,259,254,,
Middle East & North Africa,LMY,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,377,369,361,352,340,326,313,302,292,282,273,265,257,251,246,240,234,230,,
Mexico,LSO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,614,633,653,671,680,679,668,652,623,607,594,585,586,583,579,574,559,544,,
Marshall Islands,LTU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,17,16,14,14,13,14,14,14,13,11,10,10,10,10,9,9,8,8,,
Middle income,LUX,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,10,10,9,8,8,9,9,8,6,7,8,8,7,6,6,5,5,5,,
North Macedonia,LVA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,34,35,33,34,32,30,32,32,29,28,26,26,23,27,24,23,26,19,,
Mali,MAC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Malta,MAF,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Myanmar,MAR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,188,174,162,152,142,131,121,113,106,99,92,86,81,78,76,74,72,70,,
Middle East & North Africa (excluding high income),MCO,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Montenegro,MDA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,44,39,38,36,32,34,31,31,29,28,29,21,22,21,23,22,20,19,,
Mongolia,MDG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,559,552,547,543,539,526,513,503,491,474,453,432,413,394,378,363,348,335,,
Mozambique,MDV,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,125,111,105,97,89,75,71,71,72,71,67,62,60,58,56,54,54,53,,
Mauritania,MEX,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,55,55,56,55,54,54,51,49,49,51,46,43,41,39,38,36,34,33,,
Mauritius,MHL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Malawi,MKD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,13,12,12,10,11,10,10,10,8,8,8,8,8,8,8,8,8,7,,
Malaysia,MLI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,836,797,764,739,715,691,675,663,661,661,660,663,663,663,642,620,590,562,,
North America,MLT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,9,10,9,10,9,8,8,8,8,7,8,7,7,7,6,7,6,6,,
Niger,MMR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,340,331,323,314,307,299,293,287,289,274,265,259,254,251,247,246,245,250,,
Nigeria,MNE,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,12,11,11,10,9,9,8,8,8,7,7,7,6,6,6,6,6,,
Netherlands,MNG,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,155,138,124,114,106,98,91,85,80,73,66,59,54,51,49,47,46,45,,
Norway,MNP,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Nepal,MOZ,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,798,745,700,657,615,577,539,505,471,439,412,389,371,356,339,318,301,289,,
New Zealand,MRT,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,834,835,836,836,830,826,821,820,819,822,824,822,812,805,796,785,777,766,,
OECD members,MUS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,59,54,54,57,54,53,55,56,53,59,66,54,63,60,70,73,67,61,,
Oman,MWI,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,749,735,714,687,654,610,566,526,493,466,444,428,413,396,381,370,358,349,,
Other small states,MYS,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,38,36,34,33,32,31,30,30,29,29,30,30,30,30,30,30,29,29,,
Pakistan,NAC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,12,13,13,13,13,14,14,14,14,14,15,15,15,16,17,18,18,,
Panama,NAM,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,348,352,356,359,358,346,328,306,284,276,266,256,240,231,223,217,207,195,,
Peru,NCL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Philippines,NER,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,813,803,795,782,770,755,739,725,709,688,663,639,616,594,573,555,530,509,,
Palau,NGA,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,1200,1200,1180,1170,1130,1080,1040,1010,996,987,978,972,963,951,943,931,925,917,,
Poland,NIC,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,162,157,151,145,138,131,124,121,116,113,112,110,108,105,103,101,100,98,,
Pre-demographic dividend,NLD,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,13,13,13,12,11,11,9,9,8,8,7,7,7,6,6,6,6,5,,
Puerto Rico,NOR,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,6,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,,
"Korea, Dem. People’s Rep.",NPL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,553,521,520,470,447,415,386,361,342,323,305,285,266,248,231,236,200,186,,
Portugal,NRU,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,
Paraguay,NZL,孕产妇死亡率（模型估计值，每10万例活产中所占比例）,SH.STA.MMRT,12,11,12,12,11,11,11,11,10,11,11,10,10,9,10,10,10,9,,
